index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8415285451197053,0.9575649622799665,0.8958047441678102,19088.0,uniform,1,115,KNeighborsClassifier
1,0.9210757088570594,0.7330748352074448,0.8163917436738924,12895.0,uniform,1,115,KNeighborsClassifier
accuracy,0.8670543726354626,0.8670543726354626,0.8670543726354626,0.8670543726354626,uniform,1,115,KNeighborsClassifier
macro avg,0.8813021269883823,0.8453198987437056,0.8560982439208513,31983.0,uniform,1,115,KNeighborsClassifier
weighted avg,0.8736006045385585,0.8670543726354626,0.8637867770800114,31983.0,uniform,1,115,KNeighborsClassifier
0,0.8128756511286229,0.9565171835708298,0.8788659173505982,19088.0,uniform,2,115,KNeighborsClassifier
1,0.9128334383532871,0.6740597130670802,0.775482892447696,12895.0,uniform,2,115,KNeighborsClassifier
accuracy,0.8426351499233968,0.8426351499233968,0.8426351499233968,0.8426351499233968,uniform,2,115,KNeighborsClassifier
macro avg,0.862854544740955,0.8152884483189551,0.8271744048991471,31983.0,uniform,2,115,KNeighborsClassifier
weighted avg,0.8531769257514552,0.8426351499233968,0.8371836453272443,31983.0,uniform,2,115,KNeighborsClassifier
0,0.8417223117660603,0.9575649622799665,0.8959145160895031,19088.0,distance,1,115,KNeighborsClassifier
1,0.9211141410206467,0.7334625823962776,0.8166472391313734,12895.0,distance,1,115,KNeighborsClassifier
accuracy,0.8672107056873964,0.8672107056873964,0.8672107056873964,0.8672107056873964,distance,1,115,KNeighborsClassifier
macro avg,0.8814182263933534,0.8455137723381221,0.8562808776104383,31983.0,distance,1,115,KNeighborsClassifier
weighted avg,0.8737317429713222,0.8672107056873964,0.863955302245427,31983.0,distance,1,115,KNeighborsClassifier
0,0.812992564228149,0.9565695725062867,0.8789563626735986,19088.0,distance,2,115,KNeighborsClassifier
1,0.9129567408651827,0.67429236138038,0.7756813417190775,12895.0,distance,2,115,KNeighborsClassifier
accuracy,0.8427602163649439,0.8427602163649439,0.8427602163649439,0.8427602163649439,distance,2,115,KNeighborsClassifier
macro avg,0.8629746525466659,0.8154309669433333,0.827318852196338,31983.0,distance,2,115,KNeighborsClassifier
weighted avg,0.8532964149530513,0.8427602163649439,0.837317635999786,31983.0,distance,2,115,KNeighborsClassifier
0,0.8356533248140203,0.959241408214585,0.8931925168906559,19088.0,uniform,1,120,KNeighborsClassifier
1,0.9227561556791104,0.7207444746025591,0.8093351330169373,12895.0,uniform,1,120,KNeighborsClassifier
accuracy,0.863083513116343,0.863083513116343,0.863083513116343,0.863083513116343,uniform,1,120,KNeighborsClassifier
macro avg,0.8792047402465654,0.8399929414085721,0.8512638249537966,31983.0,uniform,1,120,KNeighborsClassifier
weighted avg,0.8707717003261779,0.863083513116343,0.8593826502411358,31983.0,uniform,1,120,KNeighborsClassifier
0,0.8071922788770879,0.9595557418273261,0.8768041360492114,19088.0,uniform,2,120,KNeighborsClassifier
1,0.9169177787343952,0.6607212097712292,0.7680173074322801,12895.0,uniform,2,120,KNeighborsClassifier
accuracy,0.8390707563393053,0.8390707563393053,0.8390707563393053,0.8390707563393053,uniform,2,120,KNeighborsClassifier
macro avg,0.8620550288057416,0.8101384757992776,0.8224107217407457,31983.0,uniform,2,120,KNeighborsClassifier
weighted avg,0.8514317286053804,0.8390707563393053,0.832943142552187,31983.0,uniform,2,120,KNeighborsClassifier
0,0.8421756165014981,0.9571982397317687,0.8960105926488979,19088.0,distance,1,120,KNeighborsClassifier
1,0.9205870917573873,0.7344707250872431,0.8170642280981754,12895.0,distance,1,120,KNeighborsClassifier
accuracy,0.8673983053497171,0.8673983053497171,0.8673983053497171,0.8673983053497171,distance,1,120,KNeighborsClassifier
macro avg,0.8813813541294426,0.8458344824095059,0.8565374103735366,31983.0,distance,1,120,KNeighborsClassifier
weighted avg,0.8737897856984056,0.8673983053497171,0.8641807652130237,31983.0,distance,1,120,KNeighborsClassifier
0,0.8141131368965363,0.956779128248114,0.879699429204499,19088.0,distance,2,120,KNeighborsClassifier
1,0.9136125654450262,0.6766188445133773,0.7774560035642684,12895.0,distance,2,120,KNeighborsClassifier
accuracy,0.843823281118094,0.843823281118094,0.843823281118094,0.843823281118094,distance,2,120,KNeighborsClassifier
macro avg,0.8638628511707813,0.8166989863807457,0.8285777163843837,31983.0,distance,2,120,KNeighborsClassifier
weighted avg,0.8542296091203045,0.843823281118094,0.8384766241633592,31983.0,distance,2,120,KNeighborsClassifier
