index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8470730459850281,0.9544216261525565,0.8975489592314324,19088.0,uniform,1,75,KNeighborsClassifier
1,0.9169530355097365,0.7449398991857309,0.8220444140173719,12895.0,uniform,1,75,KNeighborsClassifier
accuracy,0.8699621674014321,0.8699621674014321,0.8699621674014321,0.8699621674014321,uniform,1,75,KNeighborsClassifier
macro avg,0.8820130407473823,0.8496807626691437,0.8597966866244022,31983.0,uniform,1,75,KNeighborsClassifier
weighted avg,0.8752474656742729,0.8699621674014321,0.8671068146378885,31983.0,uniform,1,75,KNeighborsClassifier
0,0.8204063205417608,0.9520117351215424,0.8813230515543917,19088.0,uniform,2,75,KNeighborsClassifier
1,0.9068442998067731,0.6915083365645599,0.784670890531503,12895.0,uniform,2,75,KNeighborsClassifier
accuracy,0.8469812087671575,0.8469812087671575,0.8469812087671575,0.8469812087671575,uniform,2,75,KNeighborsClassifier
macro avg,0.8636253101742669,0.8217600358430511,0.8329969710429473,31983.0,uniform,2,75,KNeighborsClassifier
weighted avg,0.8552566392305121,0.8469812087671575,0.8423545490252309,31983.0,uniform,2,75,KNeighborsClassifier
0,0.8470982142857143,0.9543168482816429,0.8975167520693733,19088.0,distance,1,75,KNeighborsClassifier
1,0.9167859528580972,0.7450174486234975,0.8220244716351502,12895.0,distance,1,75,KNeighborsClassifier
accuracy,0.8699309007910453,0.8699309007910453,0.8699309007910453,0.8699309007910453,distance,1,75,KNeighborsClassifier
macro avg,0.8819420835719057,0.8496671484525702,0.8597706118522618,31983.0,distance,1,75,KNeighborsClassifier
weighted avg,0.8751951216706023,0.8699309007910453,0.8670795524258345,31983.0,distance,1,75,KNeighborsClassifier
0,0.8205174515735766,0.9520117351215424,0.8813871710925185,19088.0,distance,2,75,KNeighborsClassifier
1,0.9068727124847499,0.6917409848778596,0.7848312876688224,12895.0,distance,2,75,KNeighborsClassifier
accuracy,0.8470750085983179,0.8470750085983179,0.8470750085983179,0.8470750085983179,distance,2,75,KNeighborsClassifier
macro avg,0.8636950820291632,0.821876359999701,0.8331092293806704,31983.0,distance,2,75,KNeighborsClassifier
weighted avg,0.8553344196331576,0.8470750085983179,0.8424574860489467,31983.0,distance,2,75,KNeighborsClassifier
0,0.8408694053855345,0.9586651299245599,0.8959118727050183,19088.0,uniform,1,80,KNeighborsClassifier
1,0.922805987672439,0.7314462970143466,0.8160581415469803,12895.0,uniform,1,80,KNeighborsClassifier
accuracy,0.8670543726354626,0.8670543726354626,0.8670543726354626,0.8670543726354626,uniform,1,80,KNeighborsClassifier
macro avg,0.8818376965289867,0.8450557134694532,0.8559850071259993,31983.0,uniform,1,80,KNeighborsClassifier
weighted avg,0.8739048376023256,0.8670543726354626,0.8637162105318982,31983.0,uniform,1,80,KNeighborsClassifier
0,0.8131789848619768,0.9568315171835708,0.8791758929431019,19088.0,uniform,2,80,KNeighborsClassifier
1,0.9134726451748398,0.6746025591314463,0.7760727986439468,12895.0,uniform,2,80,KNeighborsClassifier
accuracy,0.8430416158584247,0.8430416158584247,0.8430416158584247,0.8430416158584247,uniform,2,80,KNeighborsClassifier
macro avg,0.8633258150184083,0.8157170381575085,0.8276243457935244,31983.0,uniform,2,80,KNeighborsClassifier
weighted avg,0.8536156777842908,0.8430416158584247,0.8376064841638253,31983.0,uniform,2,80,KNeighborsClassifier
0,0.8486428604683645,0.9549455155071249,0.8986614736115562,19088.0,distance,1,80,KNeighborsClassifier
1,0.9181264280274182,0.7478867778208608,0.8243087311423566,12895.0,distance,1,80,KNeighborsClassifier
accuracy,0.8714629646999968,0.8714629646999968,0.8714629646999968,0.8714629646999968,distance,1,80,KNeighborsClassifier
macro avg,0.8833846442478913,0.8514161466639929,0.8614851023769564,31983.0,distance,1,80,KNeighborsClassifier
weighted avg,0.8766574495836444,0.8714629646999968,0.8686837162360653,31983.0,distance,1,80,KNeighborsClassifier
0,0.8209110198185183,0.9526404023470243,0.8818836538228375,19088.0,distance,2,80,KNeighborsClassifier
1,0.9080553295362083,0.6923613803799923,0.7856734280811369,12895.0,distance,2,80,KNeighborsClassifier
accuracy,0.8477003408060532,0.8477003408060532,0.8477003408060532,0.8477003408060532,distance,2,80,KNeighborsClassifier
macro avg,0.8644831746773634,0.8225008913635083,0.8337785409519872,31983.0,distance,2,80,KNeighborsClassifier
weighted avg,0.8560461188964539,0.8477003408060532,0.8430933320600501,31983.0,distance,2,80,KNeighborsClassifier
