index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8401194852941176,0.9577221290863369,0.8950744222483352,19088.0,uniform,1,125,KNeighborsClassifier
1,0.9210603541034921,0.7302055060100814,0.8146033393892205,12895.0,uniform,1,125,KNeighborsClassifier
accuracy,0.8659913078823125,0.8659913078823125,0.8659913078823125,0.8659913078823125,uniform,1,125,KNeighborsClassifier
macro avg,0.8805899196988048,0.8439638175482091,0.8548388808187779,31983.0,uniform,1,125,KNeighborsClassifier
weighted avg,0.8727534628227073,0.8659913078823125,0.8626298544007823,31983.0,uniform,1,125,KNeighborsClassifier
0,0.8115478569842327,0.9572506286672254,0.8783981924380454,19088.0,uniform,2,125,KNeighborsClassifier
1,0.9138149556400507,0.6709577355564172,0.7737781156374368,12895.0,uniform,2,125,KNeighborsClassifier
accuracy,0.8418222180533408,0.8418222180533408,0.8418222180533408,0.8418222180533408,uniform,2,125,KNeighborsClassifier
macro avg,0.8626814063121417,0.8141041821118213,0.8260881540377412,31983.0,uniform,2,125,KNeighborsClassifier
weighted avg,0.8527802065814178,0.8418222180533408,0.8362171621924822,31983.0,uniform,2,125,KNeighborsClassifier
0,0.8403438606169265,0.9576697401508801,0.8951788643764843,19088.0,distance,1,125,KNeighborsClassifier
1,0.9210166177908113,0.7306708026366809,0.8148756756756756,12895.0,distance,1,125,KNeighborsClassifier
accuracy,0.8661476409342463,0.8661476409342463,0.8661476409342463,0.8661476409342463,distance,1,125,KNeighborsClassifier
macro avg,0.8806802392038688,0.8441702713937805,0.8550272700260799,31983.0,distance,1,125,KNeighborsClassifier
weighted avg,0.8728697401078199,0.8661476409342463,0.8628019885894435,31983.0,distance,1,125,KNeighborsClassifier
0,0.8116836961350511,0.9571982397317687,0.8784556949853358,19088.0,distance,2,125,KNeighborsClassifier
1,0.9137548822970548,0.6712679333074835,0.7739628040057225,12895.0,distance,2,125,KNeighborsClassifier
accuracy,0.8419160178845011,0.8419160178845011,0.8419160178845011,0.8419160178845011,distance,2,125,KNeighborsClassifier
macro avg,0.8627192892160529,0.8142330865196261,0.8262092494955291,31983.0,distance,2,125,KNeighborsClassifier
weighted avg,0.8528370571568138,0.8419160178845011,0.836325943893127,31983.0,distance,2,125,KNeighborsClassifier
0,0.8343343343343343,0.9606559094719195,0.8930502118540886,19088.0,uniform,1,130,KNeighborsClassifier
1,0.9249375312343828,0.7176424970918961,0.8082096069868996,12895.0,uniform,1,130,KNeighborsClassifier
accuracy,0.8626770471813151,0.8626770471813151,0.8626770471813151,0.8626770471813151,uniform,1,130,KNeighborsClassifier
macro avg,0.8796359327843586,0.8391492032819078,0.8506299094204941,31983.0,uniform,1,130,KNeighborsClassifier
weighted avg,0.8708639977188237,0.8626770471813151,0.8588439272728298,31983.0,uniform,1,130,KNeighborsClassifier
0,0.805857262213623,0.9600796311818944,0.8762341915895671,19088.0,uniform,2,130,KNeighborsClassifier
1,0.917550313784895,0.6576192322605661,0.7661381397660025,12895.0,uniform,2,130,KNeighborsClassifier
accuracy,0.8381327580277023,0.8381327580277023,0.8381327580277023,0.8381327580277023,uniform,2,130,KNeighborsClassifier
macro avg,0.8617037879992591,0.8088494317212302,0.8211861656777848,31983.0,uniform,2,130,KNeighborsClassifier
weighted avg,0.8508899952283981,0.8381327580277023,0.8318453416297488,31983.0,uniform,2,130,KNeighborsClassifier
0,0.8400367309458219,0.9585079631181894,0.8953704609963785,19088.0,distance,1,130,KNeighborsClassifier
1,0.9223757718318142,0.7298177588212486,0.8148757468179062,12895.0,distance,1,130,KNeighborsClassifier
accuracy,0.8663039739861802,0.8663039739861802,0.8663039739861802,0.8663039739861802,distance,1,130,KNeighborsClassifier
macro avg,0.881206251388818,0.8441628609697189,0.8551231039071423,31983.0,distance,1,130,KNeighborsClassifier
weighted avg,0.8732344276041989,0.8663039739861802,0.8629163654039887,31983.0,distance,1,130,KNeighborsClassifier
0,0.8121529782792164,0.9578792958927075,0.879017331314151,19088.0,distance,2,130,KNeighborsClassifier
1,0.9151003167898627,0.6720434276851492,0.774960876369327,12895.0,distance,2,130,KNeighborsClassifier
accuracy,0.8426351499233968,0.8426351499233968,0.8426351499233968,0.8426351499233968,distance,2,130,KNeighborsClassifier
macro avg,0.8636266475345395,0.8149613617889284,0.826989103841739,31983.0,distance,2,130,KNeighborsClassifier
weighted avg,0.8536595889816141,0.8426351499233968,0.8370635437859797,31983.0,distance,2,130,KNeighborsClassifier
