index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8367906424198117,0.9594509639564124,0.8939327378337483,19088.0,uniform,1,155,KNeighborsClassifier
1,0.9233435673962563,0.7229934082977898,0.8109777313848294,12895.0,uniform,1,155,KNeighborsClassifier
accuracy,0.8641153112591065,0.8641153112591065,0.8641153112591065,0.8641153112591065,uniform,1,155,KNeighborsClassifier
macro avg,0.880067104908034,0.8412221861271011,0.8524552346092888,31983.0,uniform,1,155,KNeighborsClassifier
weighted avg,0.8716873052585464,0.8641153112591065,0.8604866943681944,31983.0,uniform,1,155,KNeighborsClassifier
0,0.8071960188488131,0.9602367979882649,0.8770905610718985,19088.0,uniform,2,155,KNeighborsClassifier
1,0.9181759379042691,0.6604885614579294,0.7683009336520681,12895.0,uniform,2,155,KNeighborsClassifier
accuracy,0.839383422443173,0.839383422443173,0.839383422443173,0.839383422443173,uniform,2,155,KNeighborsClassifier
macro avg,0.862685978376541,0.8103626797230972,0.8226957473619834,31983.0,uniform,2,155,KNeighborsClassifier
weighted avg,0.8519412289985834,0.839383422443173,0.8332284391452902,31983.0,uniform,2,155,KNeighborsClassifier
0,0.8373262618873446,0.9594509639564124,0.89423828125,19088.0,distance,1,155,KNeighborsClassifier
1,0.9234497082385521,0.7240791004265219,0.8117012953142659,12895.0,distance,1,155,KNeighborsClassifier
accuracy,0.8645530438045211,0.8645530438045211,0.8645530438045211,0.8645530438045211,distance,1,155,KNeighborsClassifier
macro avg,0.8803879850629484,0.8417650321914671,0.852969788282133,31983.0,distance,1,155,KNeighborsClassifier
weighted avg,0.8720497662708865,0.8645530438045211,0.8609607765243241,31983.0,distance,1,155,KNeighborsClassifier
0,0.8073568281938326,0.9601320201173512,0.8771417631856036,19088.0,distance,2,155,KNeighborsClassifier
1,0.9180221911020144,0.6608763086467623,0.7685093335738118,12895.0,distance,2,155,KNeighborsClassifier
accuracy,0.8394772222743332,0.8394772222743332,0.8394772222743332,0.8394772222743332,distance,2,155,KNeighborsClassifier
macro avg,0.8626895096479235,0.8105041643820567,0.8228255483797077,31983.0,distance,2,155,KNeighborsClassifier
weighted avg,0.8519752146710551,0.8394772222743332,0.833343020733549,31983.0,distance,2,155,KNeighborsClassifier
0,0.8318443607999637,0.9609702430846605,0.8917572133498627,19088.0,uniform,1,160,KNeighborsClassifier
1,0.9249899315344342,0.7124466847615355,0.8049239935164498,12895.0,uniform,1,160,KNeighborsClassifier
accuracy,0.8607697839477222,0.8607697839477222,0.8607697839477222,0.8607697839477222,uniform,1,160,KNeighborsClassifier
macro avg,0.878417146167199,0.836708463923098,0.8483406034331562,31983.0,uniform,1,160,KNeighborsClassifier
weighted avg,0.8693990659439775,0.8607697839477222,0.8567475404063659,31983.0,uniform,1,160,KNeighborsClassifier
0,0.8025274388910753,0.9614941324392289,0.8748480587267918,19088.0,uniform,2,160,KNeighborsClassifier
1,0.9193548387096774,0.6497867390461419,0.7614157844518151,12895.0,uniform,2,160,KNeighborsClassifier
accuracy,0.8358190288590814,0.8358190288590814,0.8358190288590814,0.8358190288590814,uniform,2,160,KNeighborsClassifier
macro avg,0.8609411388003763,0.8056404357426854,0.8181319215893035,31983.0,uniform,2,160,KNeighborsClassifier
weighted avg,0.8496302535320056,0.8358190288590814,0.829114100787392,31983.0,uniform,2,160,KNeighborsClassifier
0,0.8365929446170718,0.9591366303436715,0.8936834911646979,19088.0,distance,1,160,KNeighborsClassifier
1,0.9227646301614021,0.7226832105467236,0.8105592763329564,12895.0,distance,1,160,KNeighborsClassifier
accuracy,0.8638026451552387,0.8638026451552387,0.8638026451552387,0.8638026451552387,distance,1,160,KNeighborsClassifier
macro avg,0.8796787873892369,0.8409099204451975,0.8521213837488272,31983.0,distance,1,160,KNeighborsClassifier
weighted avg,0.8713358982203654,0.8638026451552387,0.8601692257657264,31983.0,distance,1,160,KNeighborsClassifier
0,0.8073600705156456,0.9597129086336965,0.8769687395279812,19088.0,distance,2,160,KNeighborsClassifier
1,0.9172495426665231,0.6610314075222955,0.7683432486028484,12895.0,distance,2,160,KNeighborsClassifier
accuracy,0.8392896226120127,0.8392896226120127,0.8392896226120127,0.8392896226120127,distance,2,160,KNeighborsClassifier
macro avg,0.8623048065910843,0.810372158077996,0.8226559940654148,31983.0,distance,2,160,KNeighborsClassifier
weighted avg,0.851665631075492,0.8392896226120127,0.8331727946360201,31983.0,distance,2,160,KNeighborsClassifier
