index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8238720372776558,0.9633277451802179,0.8881590069311952,19088.0,uniform,1,250,KNeighborsClassifier
1,0.9275662251655629,0.6951531601395889,0.7947160778403297,12895.0,uniform,1,250,KNeighborsClassifier
accuracy,0.8552043272988775,0.8552043272988775,0.8552043272988775,0.8552043272988775,uniform,1,250,KNeighborsClassifier
macro avg,0.8757191312216093,0.8292404526599034,0.8414375423857625,31983.0,uniform,1,250,KNeighborsClassifier
weighted avg,0.8656797649084147,0.8552043272988775,0.8504844119705377,31983.0,uniform,1,250,KNeighborsClassifier
0,0.7919085085343308,0.9649518021793797,0.869908139891846,19088.0,uniform,2,250,KNeighborsClassifier
1,0.9233149931224209,0.6246607212097712,0.7451778528146539,12895.0,uniform,2,250,KNeighborsClassifier
accuracy,0.8277522433792952,0.8277522433792952,0.8277522433792952,0.8277522433792952,uniform,2,250,KNeighborsClassifier
macro avg,0.8576117508283758,0.7948062616945755,0.8075429963532499,31983.0,uniform,2,250,KNeighborsClassifier
weighted avg,0.8448893614487984,0.8277522433792952,0.8196190159241009,31983.0,uniform,2,250,KNeighborsClassifier
0,0.8273423423423424,0.9622275775356245,0.8897016082154622,19088.0,distance,1,250,KNeighborsClassifier
1,0.9263007257487478,0.7027530050407135,0.7991886409736307,12895.0,distance,1,250,KNeighborsClassifier
accuracy,0.8576118562986587,0.8576118562986587,0.8576118562986587,0.8576118562986587,distance,1,250,KNeighborsClassifier
macro avg,0.8768215340455451,0.832490291288169,0.8444451245945465,31983.0,distance,1,250,KNeighborsClassifier
weighted avg,0.867240674394545,0.8576118562986587,0.8532083238899325,31983.0,distance,1,250,KNeighborsClassifier
0,0.796406148516995,0.963589689857502,0.8720574639072611,19088.0,distance,2,250,KNeighborsClassifier
1,0.9218046804680468,0.6353625436215588,0.7522379837487948,12895.0,distance,2,250,KNeighborsClassifier
accuracy,0.8312541037426132,0.8312541037426132,0.8312541037426132,0.8312541037426132,distance,2,250,KNeighborsClassifier
macro avg,0.8591054144925209,0.7994761167395303,0.8121477238280279,31983.0,distance,2,250,KNeighborsClassifier
weighted avg,0.8469646974182491,0.8312541037426132,0.8237482935153834,31983.0,distance,2,250,KNeighborsClassifier
0,0.824352192235273,0.9633277451802179,0.888437937865391,19088.0,uniform,1,275,KNeighborsClassifier
1,0.9276635320863904,0.6961613028305544,0.7954102427786638,12895.0,uniform,1,275,KNeighborsClassifier
accuracy,0.8556107932339055,0.8556107932339055,0.8556107932339055,0.8556107932339055,uniform,1,275,KNeighborsClassifier
macro avg,0.8760078621608317,0.8297445240053862,0.8419240903220274,31983.0,uniform,1,275,KNeighborsClassifier
weighted avg,0.8660055620686269,0.8556107932339055,0.8509307581716992,31983.0,uniform,1,275,KNeighborsClassifier
0,0.7919177138922362,0.9640088013411567,0.8695302901427087,19088.0,uniform,2,275,KNeighborsClassifier
1,0.921458785869441,0.6250484683986041,0.7448479807781168,12895.0,uniform,2,275,KNeighborsClassifier
accuracy,0.8273457774442673,0.8273457774442673,0.8273457774442673,0.8273457774442673,uniform,2,275,KNeighborsClassifier
macro avg,0.8566882498808386,0.7945286348698803,0.8071891354604127,31983.0,uniform,2,275,KNeighborsClassifier
weighted avg,0.8441464642641855,0.8273457774442673,0.8192605099702291,31983.0,uniform,2,275,KNeighborsClassifier
0,0.8251716863413977,0.9631181894383906,0.8888244252665167,19088.0,distance,1,275,KNeighborsClassifier
1,0.9274525968672712,0.6979449398991857,0.796495420151334,12895.0,distance,1,275,KNeighborsClassifier
accuracy,0.8562048588312541,0.8562048588312541,0.8562048588312541,0.8562048588312541,distance,1,275,KNeighborsClassifier
macro avg,0.8763121416043345,0.8305315646687881,0.8426599227089253,31983.0,distance,1,275,KNeighborsClassifier
weighted avg,0.8664096046489717,0.8562048588312541,0.8515989454503555,31983.0,distance,1,275,KNeighborsClassifier
0,0.7929205829093731,0.9634849119865885,0.8699210065749019,19088.0,distance,2,275,KNeighborsClassifier
1,0.9206963249516441,0.6275300504071345,0.7463567607452499,12895.0,distance,2,275,KNeighborsClassifier
accuracy,0.8280336428727761,0.8280336428727761,0.8280336428727761,0.8280336428727761,distance,2,275,KNeighborsClassifier
macro avg,0.8568084539305085,0.7955074811968614,0.8081388836600759,31983.0,distance,2,275,KNeighborsClassifier
weighted avg,0.8444375823664311,0.8280336428727761,0.8201020105465943,31983.0,distance,2,275,KNeighborsClassifier
