index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8496750362369664,0.9520117351215424,0.8979369981470043,19088.0,uniform,1,65,KNeighborsClassifier
1,0.9135522838807097,0.7506785575804575,0.8241454173938956,12895.0,uniform,1,65,KNeighborsClassifier
accuracy,0.8708376324922615,0.8708376324922615,0.8708376324922615,0.8708376324922615,uniform,1,65,KNeighborsClassifier
macro avg,0.881613660058838,0.851345146351,0.8610412077704499,31983.0,uniform,1,65,KNeighborsClassifier
weighted avg,0.8754292528009556,0.8708376324922615,0.8681854916025482,31983.0,uniform,1,65,KNeighborsClassifier
0,0.820818416640232,0.9489207879295892,0.8802332644879115,19088.0,uniform,2,65,KNeighborsClassifier
1,0.9016740621218233,0.6933695230709578,0.7839200385778792,12895.0,uniform,2,65,KNeighborsClassifier
accuracy,0.8458868774036207,0.8458868774036207,0.8458868774036207,0.8458868774036207,uniform,2,65,KNeighborsClassifier
macro avg,0.8612462393810276,0.8211451555002736,0.8320766515328953,31983.0,uniform,2,65,KNeighborsClassifier
weighted avg,0.8534180335768897,0.8458868774036207,0.8414014148143389,31983.0,uniform,2,65,KNeighborsClassifier
0,0.8496750362369664,0.9520117351215424,0.8979369981470043,19088.0,distance,1,65,KNeighborsClassifier
1,0.9135522838807097,0.7506785575804575,0.8241454173938956,12895.0,distance,1,65,KNeighborsClassifier
accuracy,0.8708376324922615,0.8708376324922615,0.8708376324922615,0.8708376324922615,distance,1,65,KNeighborsClassifier
macro avg,0.881613660058838,0.851345146351,0.8610412077704499,31983.0,distance,1,65,KNeighborsClassifier
weighted avg,0.8754292528009556,0.8708376324922615,0.8681854916025482,31983.0,distance,1,65,KNeighborsClassifier
0,0.820818416640232,0.9489207879295892,0.8802332644879115,19088.0,distance,2,65,KNeighborsClassifier
1,0.9016740621218233,0.6933695230709578,0.7839200385778792,12895.0,distance,2,65,KNeighborsClassifier
accuracy,0.8458868774036207,0.8458868774036207,0.8458868774036207,0.8458868774036207,distance,2,65,KNeighborsClassifier
macro avg,0.8612462393810276,0.8211451555002736,0.8320766515328953,31983.0,distance,2,65,KNeighborsClassifier
weighted avg,0.8534180335768897,0.8458868774036207,0.8414014148143389,31983.0,distance,2,65,KNeighborsClassifier
0,0.8408578397533251,0.9571982397317687,0.8952642281402357,19088.0,uniform,1,70,KNeighborsClassifier
1,0.9203237760873806,0.7318340442031795,0.8153267959739081,12895.0,uniform,1,70,KNeighborsClassifier
accuracy,0.866335240596567,0.866335240596567,0.866335240596567,0.866335240596567,uniform,1,70,KNeighborsClassifier
macro avg,0.8805908079203528,0.844516141967474,0.8552955120570719,31983.0,uniform,1,70,KNeighborsClassifier
weighted avg,0.8728971496688316,0.866335240596567,0.8630348191484339,31983.0,uniform,1,70,KNeighborsClassifier
0,0.8131667038607454,0.9544740150880134,0.8781722218205481,19088.0,uniform,2,70,KNeighborsClassifier
1,0.9092712466068072,0.6753780535091121,0.7750634094246429,12895.0,uniform,2,70,KNeighborsClassifier
accuracy,0.8419472844948879,0.8419472844948879,0.8419472844948879,0.8419472844948879,uniform,2,70,KNeighborsClassifier
macro avg,0.8612189752337763,0.8149260342985627,0.8266178156225955,31983.0,uniform,2,70,KNeighborsClassifier
weighted avg,0.8519144160425441,0.8419472844948879,0.8366005076022072,31983.0,uniform,2,70,KNeighborsClassifier
0,0.850617746162486,0.9522212908633697,0.8985564563970733,19088.0,distance,1,70,KNeighborsClassifier
1,0.9140838436175224,0.7524621946490888,0.8254359846873671,12895.0,distance,1,70,KNeighborsClassifier
accuracy,0.8716818309727042,0.8716818309727042,0.8716818309727042,0.8716818309727042,distance,1,70,KNeighborsClassifier
macro avg,0.8823507948900042,0.8523417427562292,0.8619962205422202,31983.0,distance,1,70,KNeighborsClassifier
weighted avg,0.8762061939842255,0.8716818309727042,0.8690755295704259,31983.0,distance,1,70,KNeighborsClassifier
0,0.8225447947380359,0.9499685666387259,0.8816765127756302,19088.0,distance,2,70,KNeighborsClassifier
1,0.9039042060776816,0.6966265994571539,0.7868436035562563,12895.0,distance,2,70,KNeighborsClassifier
accuracy,0.8478254072476002,0.8478254072476002,0.8478254072476002,0.8478254072476002,distance,2,70,KNeighborsClassifier
macro avg,0.8632245004078587,0.8232975830479399,0.8342600581659432,31983.0,distance,2,70,KNeighborsClassifier
weighted avg,0.8553475214748877,0.8478254072476002,0.8434415015389162,31983.0,distance,2,70,KNeighborsClassifier
