index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8561804195135936,0.938757334450964,0.8955693830122199,19088.0,uniform,1,25,KNeighborsClassifier
1,0.8942464266328931,0.7665761923226057,0.8255041964173869,12895.0,uniform,1,25,KNeighborsClassifier
accuracy,0.8693368351936966,0.8693368351936966,0.8693368351936966,0.8693368351936966,uniform,1,25,KNeighborsClassifier
macro avg,0.8752134230732433,0.8526667633867848,0.8605367897148034,31983.0,uniform,1,25,KNeighborsClassifier
weighted avg,0.8715279842136958,0.8693368351936966,0.8673202950235893,31983.0,uniform,1,25,KNeighborsClassifier
0,0.8276343335659456,0.9319991617770327,0.8767217800556885,19088.0,uniform,2,25,KNeighborsClassifier
1,0.8762395118230358,0.7126793330748352,0.7860411409998717,12895.0,uniform,2,25,KNeighborsClassifier
accuracy,0.8435731482349998,0.8435731482349998,0.8435731482349998,0.8435731482349998,uniform,2,25,KNeighborsClassifier
macro avg,0.8519369226944907,0.8223392474259339,0.8313814605277801,31983.0,uniform,2,25,KNeighborsClassifier
weighted avg,0.8472311122804246,0.8435731482349998,0.8401608933150838,31983.0,uniform,2,25,KNeighborsClassifier
0,0.8561804195135936,0.938757334450964,0.8955693830122199,19088.0,distance,1,25,KNeighborsClassifier
1,0.8942464266328931,0.7665761923226057,0.8255041964173869,12895.0,distance,1,25,KNeighborsClassifier
accuracy,0.8693368351936966,0.8693368351936966,0.8693368351936966,0.8693368351936966,distance,1,25,KNeighborsClassifier
macro avg,0.8752134230732433,0.8526667633867848,0.8605367897148034,31983.0,distance,1,25,KNeighborsClassifier
weighted avg,0.8715279842136958,0.8693368351936966,0.8673202950235893,31983.0,distance,1,25,KNeighborsClassifier
0,0.8276343335659456,0.9319991617770327,0.8767217800556885,19088.0,distance,2,25,KNeighborsClassifier
1,0.8762395118230358,0.7126793330748352,0.7860411409998717,12895.0,distance,2,25,KNeighborsClassifier
accuracy,0.8435731482349998,0.8435731482349998,0.8435731482349998,0.8435731482349998,distance,2,25,KNeighborsClassifier
macro avg,0.8519369226944907,0.8223392474259339,0.8313814605277801,31983.0,distance,2,25,KNeighborsClassifier
weighted avg,0.8472311122804246,0.8435731482349998,0.8401608933150838,31983.0,distance,2,25,KNeighborsClassifier
0,0.8422323335500046,0.9503352891869237,0.8930241717126962,19088.0,uniform,1,30,KNeighborsClassifier
1,0.9092388702728579,0.7364870104691741,0.813796058269066,12895.0,uniform,1,30,KNeighborsClassifier
accuracy,0.8641153112591065,0.8641153112591065,0.8641153112591065,0.8641153112591065,uniform,1,30,KNeighborsClassifier
macro avg,0.8757356019114313,0.8434111498280489,0.853410114990881,31983.0,uniform,1,30,KNeighborsClassifier
weighted avg,0.8692482260879526,0.8641153112591065,0.8610807479295736,31983.0,uniform,1,30,KNeighborsClassifier
0,0.8116599991010024,0.9459870075440067,0.8736905769928633,19088.0,uniform,2,30,KNeighborsClassifier
1,0.8941043549712407,0.6750678557580457,0.7692987495028942,12895.0,uniform,2,30,KNeighborsClassifier
accuracy,0.8367570271706845,0.8367570271706845,0.8367570271706845,0.8367570271706845,uniform,2,30,KNeighborsClassifier
macro avg,0.8528821770361216,0.8105274316510263,0.8214946632478788,31983.0,uniform,2,30,KNeighborsClassifier
weighted avg,0.8449001569644524,0.8367570271706845,0.8316015729756308,31983.0,uniform,2,30,KNeighborsClassifier
0,0.8580565101183658,0.941848281642917,0.898001998001998,19088.0,distance,1,30,KNeighborsClassifier
1,0.8993744900734294,0.7693679720822024,0.829307030009195,12895.0,distance,1,30,KNeighborsClassifier
accuracy,0.8723071631804397,0.8723071631804397,0.8723071631804397,0.8723071631804397,distance,1,30,KNeighborsClassifier
macro avg,0.8787155000958976,0.8556081268625597,0.8636545140055965,31983.0,distance,1,30,KNeighborsClassifier
weighted avg,0.8747152147902398,0.8723071631804397,0.8703053587790609,31983.0,distance,1,30,KNeighborsClassifier
0,0.8301746562616128,0.9362950544844929,0.8800472720110302,19088.0,distance,2,30,KNeighborsClassifier
1,0.8836920133907221,0.7164792555253975,0.7913490364025697,12895.0,distance,2,30,KNeighborsClassifier
accuracy,0.8476690741956664,0.8476690741956664,0.8476690741956664,0.8476690741956664,distance,2,30,KNeighborsClassifier
macro avg,0.8569333348261674,0.8263871550049452,0.8356981542067999,31983.0,distance,2,30,KNeighborsClassifier
weighted avg,0.8517519417001228,0.8476690741956664,0.8442856565224551,31983.0,distance,2,30,KNeighborsClassifier
