index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8122522681229631,0.9662091366303437,0.8825668756280806,19088.0,uniform,1,400,KNeighborsClassifier
1,0.9304732133232726,0.6694067468010857,0.7786397257802634,12895.0,uniform,1,400,KNeighborsClassifier
accuracy,0.8465434762217428,0.8465434762217428,0.8465434762217428,0.8465434762217428,uniform,1,400,KNeighborsClassifier
macro avg,0.8713627407231179,0.8178079417157147,0.830603300704172,31983.0,uniform,1,400,KNeighborsClassifier
weighted avg,0.85991693648922,0.8465434762217428,0.8406652217091986,31983.0,uniform,1,400,KNeighborsClassifier
0,0.7808271312584574,0.967361693210394,0.8641426432047923,19088.0,uniform,2,400,KNeighborsClassifier
1,0.925254949010198,0.5980612640558356,0.7265190767781441,12895.0,uniform,2,400,KNeighborsClassifier
accuracy,0.8184660600944251,0.8184660600944251,0.8184660600944251,0.8184660600944251,uniform,2,400,KNeighborsClassifier
macro avg,0.8530410401343277,0.7827114786331149,0.7953308599914681,31983.0,uniform,2,400,KNeighborsClassifier
weighted avg,0.8390579635727711,0.8184660600944251,0.8086551689506064,31983.0,uniform,2,400,KNeighborsClassifier
0,0.8150097293472492,0.9654756915339481,0.8838848920863309,19088.0,distance,1,400,KNeighborsClassifier
1,0.9296766620424715,0.6756107018224118,0.7825383993532741,12895.0,distance,1,400,KNeighborsClassifier
accuracy,0.8486070725072695,0.8486070725072695,0.8486070725072695,0.8486070725072695,distance,1,400,KNeighborsClassifier
macro avg,0.8723431956948604,0.82054319667818,0.8332116457198024,31983.0,distance,1,400,KNeighborsClassifier
weighted avg,0.8612414804995767,0.8486070725072695,0.843023715092529,31983.0,distance,1,400,KNeighborsClassifier
0,0.7829980477039301,0.9665234702430847,0.8651348182883941,19088.0,distance,2,400,KNeighborsClassifier
1,0.9241182757392233,0.6034897246994959,0.7301557515481328,12895.0,distance,2,400,KNeighborsClassifier
accuracy,0.8201544570553106,0.8201544570553106,0.8201544570553106,0.8201544570553106,distance,2,400,KNeighborsClassifier
macro avg,0.8535581617215767,0.7850065974712903,0.7976452849182635,31983.0,distance,2,400,KNeighborsClassifier
weighted avg,0.8398953162689524,0.8201544570553106,0.8107135611950737,31983.0,distance,2,400,KNeighborsClassifier
0,0.8088331945844105,0.9670997485331098,0.8809143184366873,19088.0,uniform,1,450,KNeighborsClassifier
1,0.9314410480349345,0.661651803024428,0.7737021083654501,12895.0,uniform,1,450,KNeighborsClassifier
accuracy,0.8439483475596411,0.8439483475596411,0.8439483475596411,0.8439483475596411,uniform,1,450,KNeighborsClassifier
macro avg,0.8701371213096725,0.8143757757787689,0.8273082134010687,31983.0,uniform,1,450,KNeighborsClassifier
weighted avg,0.8582665895206112,0.8439483475596411,0.8376881842757705,31983.0,uniform,1,450,KNeighborsClassifier
0,0.7769974768713205,0.9679903604358759,0.8620416161239153,19088.0,uniform,2,450,KNeighborsClassifier
1,0.9255150554675119,0.5887553315238464,0.7196890700540336,12895.0,uniform,2,450,KNeighborsClassifier
accuracy,0.8150892661726542,0.8150892661726542,0.8150892661726542,0.8150892661726542,uniform,2,450,KNeighborsClassifier
macro avg,0.8512562661694162,0.7783728459798611,0.7908653430889745,31983.0,uniform,2,450,KNeighborsClassifier
weighted avg,0.8368772309906304,0.8150892661726542,0.8046474979495375,31983.0,uniform,2,450,KNeighborsClassifier
0,0.8115897390768689,0.9663139145012574,0.8822192992945116,19088.0,distance,1,450,KNeighborsClassifier
1,0.9305315471045809,0.6679333074835208,0.7776624080176967,12895.0,distance,1,450,KNeighborsClassifier
accuracy,0.8460119438451678,0.8460119438451678,0.8460119438451678,0.8460119438451678,distance,1,450,KNeighborsClassifier
macro avg,0.8710606430907248,0.8171236109923891,0.8299408536561041,31983.0,distance,1,450,KNeighborsClassifier
weighted avg,0.8595450470378903,0.8460119438451678,0.8400637443742562,31983.0,distance,1,450,KNeighborsClassifier
0,0.7798099260823653,0.9672045264040234,0.863456726609452,19088.0,distance,2,450,KNeighborsClassifier
1,0.9246509388541165,0.5957347809228383,0.7246144413526387,12895.0,distance,2,450,KNeighborsClassifier
accuracy,0.8174342619516618,0.8174342619516618,0.8174342619516618,0.8174342619516618,distance,2,450,KNeighborsClassifier
macro avg,0.8522304324682409,0.7814696536634309,0.7940355839810453,31983.0,distance,2,450,KNeighborsClassifier
weighted avg,0.8382073515800275,0.8174342619516618,0.8074778857131445,31983.0,distance,2,450,KNeighborsClassifier
0,0.8062205137165822,0.9668901927912825,0.8792758456407814,19088.0,uniform,1,500,KNeighborsClassifier
1,0.9304806951930481,0.655990694067468,0.7694896752478849,12895.0,uniform,1,500,KNeighborsClassifier
accuracy,0.84154081855986,0.84154081855986,0.84154081855986,0.84154081855986,uniform,1,500,KNeighborsClassifier
macro avg,0.8683506044548152,0.8114404434293753,0.8243827604443332,31983.0,uniform,1,500,KNeighborsClassifier
weighted avg,0.8563200991256753,0.84154081855986,0.8350119345875218,31983.0,uniform,1,500,KNeighborsClassifier
0,0.7740342359686938,0.9688809723386421,0.8605662967357671,19088.0,uniform,2,500,KNeighborsClassifier
1,0.926576019777503,0.5813105854982551,0.7144150583750297,12895.0,uniform,2,500,KNeighborsClassifier
accuracy,0.8126192039520995,0.8126192039520995,0.8126192039520995,0.8126192039520995,uniform,2,500,KNeighborsClassifier
macro avg,0.8503051278730984,0.7750957789184486,0.7874906775553985,31983.0,uniform,2,500,KNeighborsClassifier
weighted avg,0.8355364809805623,0.8126192039520995,0.801640610631846,31983.0,uniform,2,500,KNeighborsClassifier
0,0.8088744683649757,0.9664710813076278,0.8806778851891633,19088.0,distance,1,500,KNeighborsClassifier
1,0.93025283347864,0.6619620007754944,0.7735036926283357,12895.0,distance,1,500,KNeighborsClassifier
accuracy,0.8436982146765469,0.8436982146765469,0.8436982146765469,0.8436982146765469,distance,1,500,KNeighborsClassifier
macro avg,0.8695636509218079,0.8142165410415612,0.8270907889087495,31983.0,distance,1,500,KNeighborsClassifier
weighted avg,0.8578121545776731,0.8436982146765469,0.8374670790399006,31983.0,distance,1,500,KNeighborsClassifier
0,0.7765076696785039,0.9679903604358759,0.8617400834829652,19088.0,distance,2,500,KNeighborsClassifier
1,0.9253786028334148,0.5875920899573478,0.7187781625005928,12895.0,distance,2,500,KNeighborsClassifier
accuracy,0.8146202670168528,0.8146202670168528,0.8146202670168528,0.8146202670168528,distance,2,500,KNeighborsClassifier
macro avg,0.8509431362559594,0.7777912251966119,0.790259122991779,31983.0,distance,2,500,KNeighborsClassifier
weighted avg,0.836529890327992,0.8146202670168528,0.8041002757392358,31983.0,distance,2,500,KNeighborsClassifier
0,0.8030158178341735,0.9680951383067896,0.8778622327790975,19088.0,uniform,1,550,KNeighborsClassifier
1,0.9321145914613755,0.6484683986041101,0.7648403914753498,12895.0,uniform,1,550,KNeighborsClassifier
accuracy,0.8392270893912391,0.8392270893912391,0.8392270893912391,0.8392270893912391,uniform,1,550,KNeighborsClassifier
macro avg,0.8675652046477745,0.8082817684554499,0.8213513121272236,31983.0,uniform,1,550,KNeighborsClassifier
weighted avg,0.8550662410565969,0.8392270893912391,0.8322937544120954,31983.0,uniform,1,550,KNeighborsClassifier
0,0.7711581756024347,0.9690381391450126,0.8588475646561731,19088.0,uniform,2,550,KNeighborsClassifier
1,0.926097286482431,0.5743311360992632,0.7089795136894504,12895.0,uniform,2,550,KNeighborsClassifier
accuracy,0.8098990088484508,0.8098990088484508,0.8098990088484508,0.8098990088484508,uniform,2,550,KNeighborsClassifier
macro avg,0.8486277310424328,0.7716846376221379,0.7839135391728118,31983.0,uniform,2,550,KNeighborsClassifier
weighted avg,0.8336269819932534,0.8098990088484508,0.7984233231148578,31983.0,uniform,2,550,KNeighborsClassifier
