index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8285109067964666,0.9630658005029338,0.8907355363891849,19088.0,uniform,1,210,KNeighborsClassifier
1,0.9280245022970903,0.7049243892981776,0.8012340237990304,12895.0,uniform,1,210,KNeighborsClassifier
accuracy,0.8589875871556765,0.8589875871556765,0.8589875871556765,0.8589875871556765,uniform,1,210,KNeighborsClassifier
macro avg,0.8782677045467784,0.8339950949005557,0.8459847800941076,31983.0,uniform,1,210,KNeighborsClassifier
weighted avg,0.8686330908936601,0.8589875871556765,0.854650053324743,31983.0,uniform,1,210,KNeighborsClassifier
0,0.7974244460824698,0.9634849119865885,0.872624611515741,19088.0,uniform,2,210,KNeighborsClassifier
1,0.9218609865470851,0.6376890267545561,0.7538849415539766,12895.0,uniform,2,210,KNeighborsClassifier
accuracy,0.8321295688334428,0.8321295688334428,0.8321295688334428,0.8321295688334428,uniform,2,210,KNeighborsClassifier
macro avg,0.8596427163147775,0.8005869693705723,0.8132547765348588,31983.0,uniform,2,210,KNeighborsClassifier
weighted avg,0.8475951364270659,0.8321295688334428,0.8247508021746237,31983.0,uniform,2,210,KNeighborsClassifier
0,0.8320413436692506,0.9615465213746857,0.8921185019564002,19088.0,distance,1,210,KNeighborsClassifier
1,0.9260378879484079,0.7126793330748352,0.8054691266050222,12895.0,distance,1,210,KNeighborsClassifier
accuracy,0.861207516493137,0.861207516493137,0.861207516493137,0.861207516493137,distance,1,210,KNeighborsClassifier
macro avg,0.8790396158088293,0.8371129272247604,0.8487938142807112,31983.0,distance,1,210,KNeighborsClassifier
weighted avg,0.8699391468296712,0.861207516493137,0.8571829519718454,31983.0,distance,1,210,KNeighborsClassifier
0,0.8011259492013616,0.9617036881810561,0.8741012332746059,19088.0,distance,2,210,KNeighborsClassifier
1,0.9193957437424193,0.6466072120977123,0.7592423966490621,12895.0,distance,2,210,KNeighborsClassifier
accuracy,0.834662164274771,0.834662164274771,0.834662164274771,0.834662164274771,distance,2,210,KNeighborsClassifier
macro avg,0.8602608464718904,0.8041554501393842,0.8166718149618339,31983.0,distance,2,210,KNeighborsClassifier
weighted avg,0.8488103127884841,0.834662164274771,0.8277921097312738,31983.0,distance,2,210,KNeighborsClassifier
0,0.8275706825139564,0.963013411567477,0.8901694915254238,19088.0,uniform,1,220,KNeighborsClassifier
1,0.9277453689489306,0.7029856533540132,0.7998764669549104,12895.0,uniform,1,220,KNeighborsClassifier
accuracy,0.8581746552856205,0.8581746552856205,0.8581746552856205,0.8581746552856205,uniform,1,220,KNeighborsClassifier
macro avg,0.8776580257314435,0.8329995324607451,0.8450229792401671,31983.0,uniform,1,220,KNeighborsClassifier
weighted avg,0.8679594071982885,0.8581746552856205,0.8537648843329538,31983.0,uniform,1,220,KNeighborsClassifier
0,0.7956305429374865,0.9634849119865885,0.8715494159182997,19088.0,uniform,2,220,KNeighborsClassifier
1,0.921402796571944,0.6336564559906941,0.7509075035610899,12895.0,uniform,2,220,KNeighborsClassifier
accuracy,0.8305037050933308,0.8305037050933308,0.8305037050933308,0.8305037050933308,uniform,2,220,KNeighborsClassifier
macro avg,0.8585166697547153,0.7985706839886413,0.8112284597396948,31983.0,uniform,2,220,KNeighborsClassifier
weighted avg,0.8463397700461482,0.8305037050933308,0.822908654893811,31983.0,uniform,2,220,KNeighborsClassifier
0,0.831265283941672,0.9616512992455993,0.8917172698566919,19088.0,distance,1,220,KNeighborsClassifier
1,0.926068073931926,0.7110507948817371,0.804439375329005,12895.0,distance,1,220,KNeighborsClassifier
accuracy,0.8606134508957883,0.8606134508957883,0.8606134508957883,0.8606134508957883,distance,1,220,KNeighborsClassifier
macro avg,0.878666678936799,0.8363510470636681,0.8480783225928484,31983.0,distance,1,220,KNeighborsClassifier
weighted avg,0.8694881516190107,0.8606134508957883,0.8565283116621972,31983.0,distance,1,220,KNeighborsClassifier
0,0.7999128730124156,0.9619656328583404,0.8734866684109127,19088.0,distance,2,220,KNeighborsClassifier
1,0.9195835179441737,0.6438154323381156,0.7573780960634949,12895.0,distance,2,220,KNeighborsClassifier
accuracy,0.8336928993527811,0.8336928993527811,0.8336928993527811,0.8336928993527811,distance,2,220,KNeighborsClassifier
macro avg,0.8597481954782946,0.802890532598228,0.8154323822372038,31983.0,distance,2,220,KNeighborsClassifier
weighted avg,0.8481620355798739,0.8336928993527811,0.8266736727438411,31983.0,distance,2,220,KNeighborsClassifier
