index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.846989966555184,0.9552598491198658,0.8978727595036438,19088.0,uniform,1,85,KNeighborsClassifier
1,0.9183165949306552,0.7445521519968981,0.822355460385439,12895.0,uniform,1,85,KNeighborsClassifier
accuracy,0.8703061001156864,0.8703061001156864,0.8703061001156864,0.8703061001156864,uniform,1,85,KNeighborsClassifier
macro avg,0.8826532807429196,0.849906000558382,0.8601141099445414,31983.0,uniform,1,85,KNeighborsClassifier
weighted avg,0.8757476463507535,0.8703061001156864,0.8674254727535187,31983.0,uniform,1,85,KNeighborsClassifier
0,0.8186805774160183,0.9537405699916177,0.8810647307924985,19088.0,uniform,2,85,KNeighborsClassifier
1,0.9093987276831521,0.6873206669251648,0.7829159489421845,12895.0,uniform,2,85,KNeighborsClassifier
accuracy,0.8463246099490355,0.8463246099490355,0.8463246099490355,0.8463246099490355,uniform,2,85,KNeighborsClassifier
macro avg,0.8640396525495853,0.8205306184583913,0.8319903398673415,31983.0,uniform,2,85,KNeighborsClassifier
weighted avg,0.8552565880371198,0.8463246099490355,0.8414928162766682,31983.0,uniform,2,85,KNeighborsClassifier
0,0.8471009106114106,0.955207460184409,0.8979119472077218,19088.0,distance,1,85,KNeighborsClassifier
1,0.9182522229658667,0.7447848003101978,0.822471525220519,12895.0,distance,1,85,KNeighborsClassifier
accuracy,0.87036863333646,0.87036863333646,0.87036863333646,0.87036863333646,distance,1,85,KNeighborsClassifier
macro avg,0.8826765667886387,0.8499961302473034,0.8601917362141205,31983.0,distance,1,85,KNeighborsClassifier
weighted avg,0.8757879059780339,0.87036863333646,0.8674956560053649,31983.0,distance,1,85,KNeighborsClassifier
0,0.8187092421857431,0.9536881810561609,0.8810589744210247,19088.0,distance,2,85,KNeighborsClassifier
1,0.9093147312269183,0.6873982163629314,0.782935123437707,12895.0,distance,2,85,KNeighborsClassifier
accuracy,0.8463246099490355,0.8463246099490355,0.8463246099490355,0.8463246099490355,distance,2,85,KNeighborsClassifier
macro avg,0.8640119867063307,0.8205431987095462,0.8319970489293658,31983.0,distance,2,85,KNeighborsClassifier
weighted avg,0.8552398297224331,0.8463246099490355,0.8414971116054701,31983.0,distance,2,85,KNeighborsClassifier
0,0.8412756766692707,0.9590842414082146,0.8963254914440989,19088.0,uniform,1,90,KNeighborsClassifier
1,0.9235961651340246,0.7321442419542459,0.8168014880823637,12895.0,uniform,1,90,KNeighborsClassifier
accuracy,0.8675859050120377,0.8675859050120377,0.8675859050120377,0.8675859050120377,uniform,1,90,KNeighborsClassifier
macro avg,0.8824359209016477,0.8456142416812302,0.8565634897632313,31983.0,uniform,1,90,KNeighborsClassifier
weighted avg,0.8744658933078914,0.8675859050120377,0.864262769893601,31983.0,uniform,1,90,KNeighborsClassifier
0,0.8109858904960511,0.9575649622799665,0.8782011242973141,19088.0,uniform,2,90,KNeighborsClassifier
1,0.9142403388035998,0.6696393951143854,0.7730528200537153,12895.0,uniform,2,90,KNeighborsClassifier
accuracy,0.8414782853390864,0.8414782853390864,0.8414782853390864,0.8414782853390864,uniform,2,90,KNeighborsClassifier
macro avg,0.8626131146498255,0.8136021786971759,0.8256269721755147,31983.0,uniform,2,90,KNeighborsClassifier
weighted avg,0.8526163226295546,0.8414782853390864,0.8358071217578023,31983.0,uniform,2,90,KNeighborsClassifier
0,0.8481412639405205,0.9562028499580888,0.8989361702127661,19088.0,distance,1,90,KNeighborsClassifier
1,0.9200993978782376,0.746568437378829,0.8243000256871308,12895.0,distance,1,90,KNeighborsClassifier
accuracy,0.8716818309727042,0.8716818309727042,0.8716818309727042,0.8716818309727042,distance,1,90,KNeighborsClassifier
macro avg,0.884120330909379,0.8513856436684589,0.8616180979499484,31983.0,distance,1,90,KNeighborsClassifier
weighted avg,0.8771535560058946,0.8716818309727042,0.8688441499626937,31983.0,distance,1,90,KNeighborsClassifier
0,0.8186516853932584,0.9542644593461861,0.8812714693502346,19088.0,distance,2,90,KNeighborsClassifier
1,0.910305147436556,0.6870880186118651,0.7831005833480643,12895.0,distance,2,90,KNeighborsClassifier
accuracy,0.8465434762217428,0.8465434762217428,0.8465434762217428,0.8465434762217428,distance,2,90,KNeighborsClassifier
macro avg,0.8644784164149072,0.8206762389790256,0.8321860263491494,31983.0,distance,2,90,KNeighborsClassifier
weighted avg,0.8556047977669671,0.8465434762217428,0.8416906428174521,31983.0,distance,2,90,KNeighborsClassifier
