index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8428122980334226,0.956464794635373,0.8960490797546011,19088.0,uniform,1,105,KNeighborsClassifier
1,0.9194845460711172,0.735944164404808,0.8175396278428669,12895.0,uniform,1,105,KNeighborsClassifier
accuracy,0.8675546384016509,0.8675546384016509,0.8675546384016509,0.8675546384016509,uniform,1,105,KNeighborsClassifier
macro avg,0.8811484220522698,0.8462044795200905,0.856794353798734,31983.0,uniform,1,105,KNeighborsClassifier
weighted avg,0.8737252404855401,0.8675546384016509,0.8643954080414469,31983.0,uniform,1,105,KNeighborsClassifier
0,0.8137832529905374,0.9551550712489523,0.8788200134965777,19088.0,uniform,2,105,KNeighborsClassifier
1,0.9106378536381668,0.6764637456378442,0.7762748064430008,12895.0,uniform,2,105,KNeighborsClassifier
accuracy,0.8427914829753307,0.8427914829753307,0.8427914829753307,0.8427914829753307,uniform,2,105,KNeighborsClassifier
macro avg,0.8622105533143521,0.8158094084433982,0.8275474099697893,31983.0,uniform,2,105,KNeighborsClassifier
weighted avg,0.8528333757229635,0.8427914829753307,0.8374755353376847,31983.0,uniform,2,105,KNeighborsClassifier
0,0.843045807166605,0.956464794635373,0.896181032790104,19088.0,distance,1,105,KNeighborsClassifier
1,0.9195313256512055,0.7364094610314075,0.8178451468435104,12895.0,distance,1,105,KNeighborsClassifier
accuracy,0.8677422380639714,0.8677422380639714,0.8677422380639714,0.8677422380639714,distance,1,105,KNeighborsClassifier
macro avg,0.8812885664089053,0.8464371278333902,0.8570130898168071,31983.0,distance,1,105,KNeighborsClassifier
weighted avg,0.8738834634483461,0.8677422380639714,0.8645973399132217,31983.0,distance,1,105,KNeighborsClassifier
0,0.8139566032681489,0.9551026823134954,0.8788989056549197,19088.0,distance,2,105,KNeighborsClassifier
1,0.9105894627021388,0.676851492826677,0.7765124555160142,12895.0,distance,2,105,KNeighborsClassifier
accuracy,0.8429165494168778,0.8429165494168778,0.8429165494168778,0.8429165494168778,distance,2,105,KNeighborsClassifier
macro avg,0.8622730329851438,0.8159770875700862,0.827705680585467,31983.0,distance,2,105,KNeighborsClassifier
weighted avg,0.8529173237259328,0.8429165494168778,0.8376184355757781,31983.0,distance,2,105,KNeighborsClassifier
0,0.8372433347052637,0.9591366303436715,0.8940544500061044,19088.0,uniform,1,110,KNeighborsClassifier
1,0.9228944246737841,0.7240015509887553,0.8114380079092607,12895.0,uniform,1,110,KNeighborsClassifier
accuracy,0.8643341775318137,0.8643341775318137,0.8643341775318137,0.8643341775318137,uniform,1,110,KNeighborsClassifier
macro avg,0.880068879689524,0.8415690906662134,0.8527462289576826,31983.0,uniform,1,110,KNeighborsClassifier
weighted avg,0.8717763930532634,0.8643341775318137,0.8607449099117167,31983.0,uniform,1,110,KNeighborsClassifier
0,0.8082965578111209,0.9595557418273261,0.8774552074350866,19088.0,uniform,2,110,KNeighborsClassifier
1,0.9171940362544245,0.663125242341993,0.7697362498874786,12895.0,uniform,2,110,KNeighborsClassifier
accuracy,0.8400400212612951,0.8400400212612951,0.8400400212612951,0.8400400212612951,uniform,2,110,KNeighborsClassifier
macro avg,0.8627452970327727,0.8113404920846595,0.8235957286612826,31983.0,uniform,2,110,KNeighborsClassifier
weighted avg,0.8522021634305563,0.8400400212612951,0.834024761336334,31983.0,uniform,2,110,KNeighborsClassifier
0,0.8433301011220391,0.9568315171835708,0.8965026383605351,19088.0,distance,1,110,KNeighborsClassifier
1,0.9202014332752276,0.736874757658007,0.8183971405193575,12895.0,distance,1,110,KNeighborsClassifier
accuracy,0.8681487039989995,0.8681487039989995,0.8681487039989995,0.8681487039989995,distance,1,110,KNeighborsClassifier
macro avg,0.8817657671986334,0.8468531374207889,0.8574498894399463,31983.0,distance,1,110,KNeighborsClassifier
weighted avg,0.8743233108933353,0.8681487039989995,0.8650118340375514,31983.0,distance,1,110,KNeighborsClassifier
0,0.8151688404502412,0.9560980720871752,0.8800270035683286,19088.0,distance,2,110,KNeighborsClassifier
1,0.9126628452318916,0.6791004265219077,0.7787461093819475,12895.0,distance,2,110,KNeighborsClassifier
accuracy,0.8444173467154426,0.8444173467154426,0.8444173467154426,0.8444173467154426,distance,2,110,KNeighborsClassifier
macro avg,0.8639158428410664,0.8175992493045414,0.8293865564751381,31983.0,distance,2,110,KNeighborsClassifier
weighted avg,0.8544767600218693,0.8444173467154426,0.8391922747894965,31983.0,distance,2,110,KNeighborsClassifier
