index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8523966165413533,0.9502829002514669,0.8986821244550138,19088.0,uniform,1,55,KNeighborsClassifier
1,0.9113332710455012,0.7564172159751842,0.8266802271378931,12895.0,uniform,1,55,KNeighborsClassifier
accuracy,0.872119563518119,0.872119563518119,0.872119563518119,0.872119563518119,uniform,1,55,KNeighborsClassifier
macro avg,0.8818649437934273,0.8533500581133255,0.8626811757964534,31983.0,uniform,1,55,KNeighborsClassifier
weighted avg,0.8761588702333455,0.872119563518119,0.8696521877416263,31983.0,uniform,1,55,KNeighborsClassifier
0,0.8227444550712757,0.9464061190276614,0.8802533804361067,19088.0,uniform,2,55,KNeighborsClassifier
1,0.8979652902453621,0.6981775882124854,0.7855678199031455,12895.0,uniform,2,55,KNeighborsClassifier
accuracy,0.8463246099490355,0.8463246099490355,0.8463246099490355,0.8463246099490355,uniform,2,55,KNeighborsClassifier
macro avg,0.8603548726583189,0.8222918536200734,0.832910600169626,31983.0,uniform,2,55,KNeighborsClassifier
weighted avg,0.8530722126165292,0.8463246099490355,0.8420777776761238,31983.0,uniform,2,55,KNeighborsClassifier
0,0.8524366746557639,0.9502829002514669,0.8987043872470086,19088.0,distance,1,55,KNeighborsClassifier
1,0.9113415545590433,0.7564947654129508,0.8267299461841604,12895.0,distance,1,55,KNeighborsClassifier
accuracy,0.8721508301285058,0.8721508301285058,0.8721508301285058,0.8721508301285058,distance,1,55,KNeighborsClassifier
macro avg,0.8818891146074036,0.8533888328322088,0.8627171667155845,31983.0,distance,1,55,KNeighborsClassifier
weighted avg,0.8761861173707308,0.8721508301285058,0.8696855204269658,31983.0,distance,1,55,KNeighborsClassifier
0,0.8227444550712757,0.9464061190276614,0.8802533804361067,19088.0,distance,2,55,KNeighborsClassifier
1,0.8979652902453621,0.6981775882124854,0.7855678199031455,12895.0,distance,2,55,KNeighborsClassifier
accuracy,0.8463246099490355,0.8463246099490355,0.8463246099490355,0.8463246099490355,distance,2,55,KNeighborsClassifier
macro avg,0.8603548726583189,0.8222918536200734,0.832910600169626,31983.0,distance,2,55,KNeighborsClassifier
weighted avg,0.8530722126165292,0.8463246099490355,0.8420777776761238,31983.0,distance,2,55,KNeighborsClassifier
0,0.8434742434742435,0.956464794635373,0.896423047651781,19088.0,uniform,1,60,KNeighborsClassifier
1,0.9196169471851422,0.7372625048468399,0.8184048551629148,12895.0,uniform,1,60,KNeighborsClassifier
accuracy,0.8680861707782259,0.8680861707782259,0.8680861707782259,0.8680861707782259,uniform,1,60,KNeighborsClassifier
macro avg,0.8815455953296929,0.8468636497411064,0.857413951407348,31983.0,uniform,1,60,KNeighborsClassifier
weighted avg,0.8741736826873266,0.8680861707782259,0.8649674433575019,31983.0,uniform,1,60,KNeighborsClassifier
0,0.8143093650722627,0.9534262363788768,0.8783937061080676,19088.0,uniform,2,60,KNeighborsClassifier
1,0.9077226489516297,0.6781698332687088,0.7763327267077988,12895.0,uniform,2,60,KNeighborsClassifier
accuracy,0.8424475502610762,0.8424475502610762,0.8424475502610762,0.8424475502610762,uniform,2,60,KNeighborsClassifier
macro avg,0.8610160070119461,0.8157980348237928,0.8273632164079332,31983.0,uniform,2,60,KNeighborsClassifier
weighted avg,0.8519720075893635,0.8424475502610762,0.8372444602785186,31983.0,uniform,2,60,KNeighborsClassifier
0,0.8525821596244132,0.9513830678960603,0.8992770129741509,19088.0,distance,1,60,KNeighborsClassifier
1,0.913133015070673,0.7564947654129508,0.8274662821274069,12895.0,distance,1,60,KNeighborsClassifier
accuracy,0.8728074289466279,0.8728074289466279,0.8728074289466279,0.8728074289466279,distance,1,60,KNeighborsClassifier
macro avg,0.882857587347543,0.8539389166545055,0.8633716475507789,31983.0,distance,1,60,KNeighborsClassifier
weighted avg,0.87699523159951,0.8728074289466279,0.8703241513204986,31983.0,distance,1,60,KNeighborsClassifier
0,0.823652585579024,0.9479253981559095,0.8814302416212003,19088.0,distance,2,60,KNeighborsClassifier
1,0.9007488766849725,0.6995734780922839,0.7875163683980795,12895.0,distance,2,60,KNeighborsClassifier
accuracy,0.8477941406372135,0.8477941406372135,0.8477941406372135,0.8477941406372135,distance,2,60,KNeighborsClassifier
macro avg,0.8622007311319982,0.8237494381240966,0.8344733050096399,31983.0,distance,2,60,KNeighborsClassifier
weighted avg,0.8547364949624842,0.8477941406372135,0.8435657700202829,31983.0,distance,2,60,KNeighborsClassifier
