index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8265677680377613,0.9632753562447611,0.8897007233929307,19088.0,uniform,1,230,KNeighborsClassifier
1,0.928013965906757,0.7008142690965491,0.7985684619802943,12895.0,uniform,1,230,KNeighborsClassifier
accuracy,0.8574555232467248,0.8574555232467248,0.8574555232467248,0.8574555232467248,uniform,1,230,KNeighborsClassifier
macro avg,0.8772908669722592,0.8320448126706551,0.8441345926866125,31983.0,uniform,1,230,KNeighborsClassifier
weighted avg,0.8674691444414977,0.8574555232467248,0.8529577502223105,31983.0,uniform,1,230,KNeighborsClassifier
0,0.7948507494924186,0.9639564124057,0.8712740014679072,19088.0,uniform,2,230,KNeighborsClassifier
1,0.9221190853520489,0.6317177200465297,0.7497813981315294,12895.0,uniform,2,230,KNeighborsClassifier
accuracy,0.8300034393271425,0.8300034393271425,0.8300034393271425,0.8300034393271425,uniform,2,230,KNeighborsClassifier
macro avg,0.8584849174222338,0.7978370662261148,0.8105276997997184,31983.0,uniform,2,230,KNeighborsClassifier
weighted avg,0.8461631714325096,0.8300034393271425,0.8222902563526087,31983.0,uniform,2,230,KNeighborsClassifier
0,0.8302287729451125,0.9620180217937971,0.8912779692277824,19088.0,distance,1,230,KNeighborsClassifier
1,0.9265078560567663,0.7088018611865063,0.8031634446397188,12895.0,distance,1,230,KNeighborsClassifier
accuracy,0.8599255854672795,0.8599255854672795,0.8599255854672795,0.8599255854672795,distance,1,230,KNeighborsClassifier
macro avg,0.8783683145009394,0.8354099414901517,0.8472207069337505,31983.0,distance,1,230,KNeighborsClassifier
weighted avg,0.8690468568248229,0.8599255854672795,0.8557516960650684,31983.0,distance,1,230,KNeighborsClassifier
0,0.7989822989605532,0.9624371332774518,0.8731256386492716,19088.0,distance,2,230,KNeighborsClassifier
1,0.9202447163515016,0.6415664986428848,0.7560429517934659,12895.0,distance,2,230,KNeighborsClassifier
accuracy,0.8330675671450458,0.8330675671450458,0.8330675671450458,0.8330675671450458,distance,2,230,KNeighborsClassifier
macro avg,0.8596135076560274,0.8020018159601683,0.8145842952213688,31983.0,distance,2,230,KNeighborsClassifier
weighted avg,0.8478732370294111,0.8330675671450458,0.8259198966298984,31983.0,distance,2,230,KNeighborsClassifier
0,0.8252344416027281,0.9635373009220453,0.8890392749244713,19088.0,uniform,1,240,KNeighborsClassifier
1,0.9282178217821783,0.6979449398991857,0.7967774777566287,12895.0,uniform,1,240,KNeighborsClassifier
accuracy,0.8564549917143482,0.8564549917143482,0.8564549917143482,0.8564549917143482,uniform,1,240,KNeighborsClassifier
macro avg,0.8767261316924532,0.8307411204106154,0.84290837634055,31983.0,uniform,1,240,KNeighborsClassifier
weighted avg,0.8667555836911504,0.8564549917143482,0.8518408922061731,31983.0,uniform,1,240,KNeighborsClassifier
0,0.7938602164446169,0.9645850796311819,0.8709349353137343,19088.0,uniform,2,240,KNeighborsClassifier
1,0.923094425483504,0.6292361380379993,0.748351394973484,12895.0,uniform,2,240,KNeighborsClassifier
accuracy,0.8293781071194072,0.8293781071194072,0.8293781071194072,0.8293781071194072,uniform,2,240,KNeighborsClassifier
macro avg,0.8584773209640604,0.7969106088345905,0.8096431651436091,31983.0,uniform,2,240,KNeighborsClassifier
weighted avg,0.8459652449146307,0.8293781071194072,0.8215113430088372,31983.0,uniform,2,240,KNeighborsClassifier
0,0.8289028298054791,0.9621751886001676,0.8905806764456298,19088.0,distance,1,240,KNeighborsClassifier
1,0.9265214736413596,0.7060100814269097,0.8013731789974033,12895.0,distance,1,240,KNeighborsClassifier
accuracy,0.8588937873245162,0.8588937873245162,0.8588937873245162,0.8588937873245162,distance,1,240,KNeighborsClassifier
macro avg,0.8777121517234194,0.8340926350135387,0.8459769277215166,31983.0,distance,1,240,KNeighborsClassifier
weighted avg,0.8682610017175474,0.8588937873245162,0.8546137352707905,31983.0,distance,1,240,KNeighborsClassifier
0,0.7983496199782845,0.963013411567477,0.8729845890817562,19088.0,distance,2,240,KNeighborsClassifier
1,0.9211877651261442,0.6399379604497868,0.7552281151329338,12895.0,distance,2,240,KNeighborsClassifier
accuracy,0.8327549010411781,0.8327549010411781,0.8327549010411781,0.8327549010411781,distance,2,240,KNeighborsClassifier
macro avg,0.8597686925522143,0.8014756860086318,0.814106352107345,31983.0,distance,2,240,KNeighborsClassifier
weighted avg,0.8478758645982903,0.8327549010411781,0.8255071876006549,31983.0,distance,2,240,KNeighborsClassifier
