index,precision,recall,f1-score,support,Weight_Func,Power,Num_Neighbors,source_model
0,0.8373667596870854,0.9589270746018441,0.8940337509463454,19088.0,uniform,1,145,KNeighborsClassifier
1,0.9225602528644804,0.7243117487398216,0.8115035405534557,12895.0,uniform,1,145,KNeighborsClassifier
accuracy,0.8643341775318137,0.8643341775318137,0.8643341775318137,0.8643341775318137,uniform,1,145,KNeighborsClassifier
macro avg,0.8799635062757829,0.8416194116708329,0.8527686457499006,31983.0,uniform,1,145,KNeighborsClassifier
weighted avg,0.8717153228150756,0.8643341775318137,0.8607589780039601,31983.0,uniform,1,145,KNeighborsClassifier
0,0.8080861581920904,0.9591366303436715,0.8771559984668456,19088.0,uniform,2,145,KNeighborsClassifier
1,0.9163718237375362,0.6628150445909267,0.7692376923769237,12895.0,uniform,2,145,KNeighborsClassifier
accuracy,0.8396648219366538,0.8396648219366538,0.8396648219366538,0.8396648219366538,uniform,2,145,KNeighborsClassifier
macro avg,0.8622289909648133,0.8109758374672991,0.8231968454218846,31983.0,uniform,2,145,KNeighborsClassifier
weighted avg,0.851745091288064,0.8396648219366538,0.8336451784365313,31983.0,uniform,2,145,KNeighborsClassifier
0,0.8377883559135848,0.9589270746018441,0.8942739886652336,19088.0,distance,1,145,KNeighborsClassifier
1,0.9226443019240257,0.725164792555254,0.8120712114633087,12895.0,distance,1,145,KNeighborsClassifier
accuracy,0.8646781102460682,0.8646781102460682,0.8646781102460682,0.8646781102460682,distance,1,145,KNeighborsClassifier
macro avg,0.8802163289188052,0.8420459335785491,0.8531726000642712,31983.0,distance,1,145,KNeighborsClassifier
weighted avg,0.8720008257820974,0.8646781102460682,0.8611312311997418,31983.0,distance,1,145,KNeighborsClassifier
0,0.8084786928681829,0.9591366303436715,0.8773871995782714,19088.0,distance,2,145,KNeighborsClassifier
1,0.9164703362604412,0.663668088406359,0.7698466243871722,12895.0,distance,2,145,KNeighborsClassifier
accuracy,0.8400087546509083,0.8400087546509083,0.8400087546509083,0.8400087546509083,distance,2,145,KNeighborsClassifier
macro avg,0.862474514564312,0.8114023593750153,0.8236169119827218,31983.0,distance,2,145,KNeighborsClassifier
weighted avg,0.8520190812477336,0.8400087546509083,0.8340286742026274,31983.0,distance,2,145,KNeighborsClassifier
0,0.8336665152203544,0.9612845766974015,0.8929388291401043,19088.0,uniform,1,150,KNeighborsClassifier
1,0.9258999298104883,0.7160915083365645,0.8075913940878082,12895.0,uniform,1,150,KNeighborsClassifier
accuracy,0.8624269142982209,0.8624269142982209,0.8624269142982209,0.8624269142982209,uniform,1,150,KNeighborsClassifier
macro avg,0.8797832225154214,0.838688042516983,0.8502651116139562,31983.0,uniform,1,150,KNeighborsClassifier
weighted avg,0.8708534545675006,0.8624269142982209,0.8585281992742582,31983.0,uniform,1,150,KNeighborsClassifier
0,0.8038966725043782,0.9619132439228835,0.8758347643579469,19088.0,uniform,2,150,KNeighborsClassifier
1,0.9204856174122279,0.6526560682435052,0.7637716671204283,12895.0,uniform,2,150,KNeighborsClassifier
accuracy,0.8372260263264859,0.8372260263264859,0.8372260263264859,0.8372260263264859,uniform,2,150,KNeighborsClassifier
macro avg,0.8621911449583031,0.8072846560831943,0.8198032157391877,31983.0,uniform,2,150,KNeighborsClassifier
weighted avg,0.8509033461931104,0.8372260263264859,0.8306528352431733,31983.0,uniform,2,150,KNeighborsClassifier
0,0.838479157123225,0.9589270746018441,0.8946673835475831,19088.0,distance,1,150,KNeighborsClassifier
1,0.9227814439082045,0.7265606824350523,0.8129989586948977,12895.0,distance,1,150,KNeighborsClassifier
accuracy,0.8652409092330301,0.8652409092330301,0.8652409092330301,0.8652409092330301,distance,1,150,KNeighborsClassifier
macro avg,0.8806303005157148,0.8427438785184482,0.8538331711212404,31983.0,distance,1,150,KNeighborsClassifier
weighted avg,0.8724684010369389,0.8652409092330301,0.8617400678337547,31983.0,distance,1,150,KNeighborsClassifier
0,0.808922261484099,0.9594509639564124,0.8777799079754601,19088.0,distance,2,150,KNeighborsClassifier
1,0.9171572300117735,0.6645211322217914,0.7706628293911322,12895.0,distance,2,150,KNeighborsClassifier
accuracy,0.8405402870274834,0.8405402870274834,0.8405402870274834,0.8405402870274834,distance,2,150,KNeighborsClassifier
macro avg,0.8630397457479362,0.8119860480891019,0.8242213686832962,31983.0,distance,2,150,KNeighborsClassifier
weighted avg,0.8525607544073509,0.8405402870274834,0.834592129207211,31983.0,distance,2,150,KNeighborsClassifier
